,city,country,lat,lon
0,Glendale,USA,34.18193183035625,-118.24683528026183
1,Paradise,USA,36.08716233730059,-115.1355557882915
2,Arlington,USA,32.69987260399962,-97.12505025906377
3,Tampa,USA,27.995294605583023,-82.44425471925804
4,Houston,USA,29.77661316813318,-95.37596167494573
5,Atlanta,USA,33.76281099319345,-84.42221120738853
6,Nashville,USA,36.17141597741194,-86.78435713158962
7,Philadelphia,USA,40.007608910451594,-75.13407360222796
8,Foxborough,USA,42.06266025665342,-71.2461331367998
9,East Rutherford,USA,40.8179465816598,-74.08541451341982
10,Chicago,USA,41.83818747621185,-87.68569214267272
11,Detroit,USA,42.38340293058643,-83.10215033314546
12,Pittsburgh,USA,40.43963485717007,-79.97642734827211
13,Minneapolis,USA,44.9635771925453,-93.26782325495793
14,Cincinnati,USA,39.14122182342631,-84.50607016251682
15,Kansas City,USA,39.12394182847026,-94.55412124298357
16,Denver,USA,39.76213554237362,-104.87564243612921
17,Seattle,USA,47.61958018244469,-122.35127320310819
18,Santa Clara,USA,37.36436044959148,-121.96800022438167
19,Inglewood,USA,33.95653233169604,-118.34447407391585
20,Mexico City,Mexico,19.276893953984192,-99.13941610831735
21,Buenos Aires,Argentina,-34.61438467030671,-58.44592384943911
22,Rio de Janeiro,Brazil,-22.92339475196027,-43.45134011892439
23,São Paulo,Brazil,-23.65052126527965,-46.648374544041936
24,Tokyo,Japan,29.989542177032728,140.7676584424454
25,Melbourne,Australia,-37.851326057639966,145.26742041832367
26,Sydney,Australia,-33.76654592099432,150.92085728270024
27,Singapore,Singapore,1.33010247073814,103.93755277431295
28,Nanterre,France,48.896167028910696,2.207056349221208
29,Stockholm,Sweden,59.32203300892007,17.996894152509256
30,Lisbon,Portugal,38.74267429397232,-9.156114686831788
31,Madrid,Spain,40.46545569018456,-3.696427623290258
32,Décines-Charpieu,France,45.77197846885344,4.961709611546908
33,Edinburgh,UK,55.92651992811121,-3.2883442915115015
34,Liverpool,UK,53.39548246139087,-2.9170504432140922
35,Cardiff,UK,51.50840904440729,-3.1995423781469863
36,London,UK,51.500497185497736,-0.10941571778097123
37,Dublin,Ireland,53.35900239161803,-6.2579824651446305
38,Amsterdam,Netherlands,52.373432817290556,4.904530985309441
39,Zürich,Switzerland,47.38141768914041,8.531370114731079
40,Milan,Italy,45.468394165561286,9.173018654495348
41,Gelsenkirchen,Germany,51.55403000434088,7.070923938353713
42,Hamburg,Germany,53.64513249766132,9.62816648650933
43,Munich,Germany,48.15316497150969,11.547373079454998
44,Warsaw,Poland,52.22933483435358,21.04772886222034
45,Vienna,Austria,48.20844343027355,16.37784149115177
46,Miami Gardens,USA,25.94324502674539,-80.24252838815157
47,New Orleans,USA,30.068432234210142,-89.92944404814747
48,Indianapolis,USA,39.77712793817274,-86.14576828717102
49,Toronto,Canada,43.722790367774934,-79.38841600846001
50,Vancouver,Canada,49.25392697855867,-123.1129349961338
