city,country,venue,lat,lon,date,continent
Glendale,USA,State Farm Stadium,33.527723054750965,-112.26250565986618,2023-03-17,North America
Glendale,USA,State Farm Stadium,33.527723054750965,-112.26250565986618,2023-03-18,North America
Paradise,USA,Allegiant Stadium,36.09094450060481,-115.18325783090872,2023-03-24,North America
Paradise,USA,Allegiant Stadium,36.09094450060481,-115.18325783090872,2023-03-25,North America
Arlington,USA,AT&T Stadium,32.74817800846315,-97.09327491966025,2023-03-31,North America
Arlington,USA,AT&T Stadium,32.74817800846315,-97.09327491966025,2023-04-01,North America
Arlington,USA,AT&T Stadium,32.74817800846315,-97.09327491966025,2023-04-02,North America
Tampa,USA,Raymond James Stadium,27.97594487696552,-82.50343096380242,2023-04-13,North America
Tampa,USA,Raymond James Stadium,27.97594487696552,-82.50343096380242,2023-04-14,North America
Tampa,USA,Raymond James Stadium,27.97594487696552,-82.50343096380242,2023-04-15,North America
Houston,USA,NRG Stadium,29.684954895387932,-95.41073959071946,2023-04-21,North America
Houston,USA,NRG Stadium,29.684954895387932,-95.41073959071946,2023-04-22,North America
Houston,USA,NRG Stadium,29.684954895387932,-95.41073959071946,2023-04-23,North America
Atlanta,USA,Mercedes-Benz Stadium,33.75543021496932,-84.40067633472023,2023-04-28,North America
Atlanta,USA,Mercedes-Benz Stadium,33.75543021496932,-84.40067633472023,2023-04-29,North America
Atlanta,USA,Mercedes-Benz Stadium,33.75543021496932,-84.40067633472023,2023-04-30,North America
Nashville,USA,Nissan Stadium,36.166685508424145,-86.77124585974073,2023-05-05,North America
Nashville,USA,Nissan Stadium,36.166685508424145,-86.77124585974073,2023-05-06,North America
Nashville,USA,Nissan Stadium,36.166685508424145,-86.77124585974073,2023-05-07,North America
Philadelphia,USA,Lincoln Financial Field,39.901624636682136,-75.16756701722092,2023-05-12,North America
Philadelphia,USA,Lincoln Financial Field,39.901624636682136,-75.16756701722092,2023-05-13,North America
Philadelphia,USA,Lincoln Financial Field,39.901624636682136,-75.16756701722092,2023-05-14,North America
Foxborough,USA,Gillette Stadium,42.09106995972086,-71.26428203244453,2023-05-19,North America
Foxborough,USA,Gillette Stadium,42.09106995972086,-71.26428203244453,2023-05-20,North America
Foxborough,USA,Gillette Stadium,42.09106995972086,-71.26428203244453,2023-05-21,North America
East Rutherford,USA,MetLife Stadium,40.81369313164212,-74.07451064785776,2023-05-26,North America
East Rutherford,USA,MetLife Stadium,40.81369313164212,-74.07451064785776,2023-05-27,North America
East Rutherford,USA,MetLife Stadium,40.81369313164212,-74.07451064785776,2023-05-28,North America
Chicago,USA,Soldier Field,41.86244900632773,-87.61667767478575,2023-06-02,North America
Chicago,USA,Soldier Field,41.86244900632773,-87.61667767478575,2023-06-03,North America
Chicago,USA,Soldier Field,41.86244900632773,-87.61667767478575,2023-06-04,North America
Detroit,USA,Ford Field,42.34019669899272,-83.04548498640175,2023-06-09,North America
Detroit,USA,Ford Field,42.34019669899272,-83.04548498640175,2023-06-10,North America
Pittsburgh,USA,Acrisure Stadium,40.446985219087686,-80.01572811719168,2023-06-16,North America
Pittsburgh,USA,Acrisure Stadium,40.446985219087686,-80.01572811719168,2023-06-17,North America
Minneapolis,USA,US Bank Stadium,44.97382063899347,-93.25748377460798,2023-06-23,North America
Minneapolis,USA,US Bank Stadium,44.97382063899347,-93.25748377460798,2023-06-24,North America
Cincinnati,USA,Paycor Stadium,39.09555749094284,-84.51604697493502,2023-06-30,North America
Cincinnati,USA,Paycor Stadium,39.09555749094284,-84.51604697493502,2023-07-01,North America
Kansas City,USA,GEHA Field at Arrowhead,39.04954181692794,-94.48407565684704,2023-07-07,North America
Kansas City,USA,GEHA Field at Arrowhead,39.04954181692794,-94.48407565684704,2023-07-08,North America
Denver,USA,Empower Field at Mile High,39.7440574120311,-105.02019424791528,2023-07-14,North America
Denver,USA,Empower Field at Mile High,39.7440574120311,-105.02019424791528,2023-07-15,North America
Seattle,USA,Lumen Field,47.595282003726936,-122.33171450513645,2023-07-22,North America
Seattle,USA,Lumen Field,47.595282003726936,-122.33171450513645,2023-07-23,North America
Santa Clara,USA,Levi's Stadium,37.40348692722447,-121.96935594618644,2023-07-28,North America
Santa Clara,USA,Levi's Stadium,37.40348692722447,-121.96935594618644,2023-07-29,North America
Inglewood,USA,SoFi Stadium,33.95361886470102,-118.33907714820384,2023-08-03,North America
Inglewood,USA,SoFi Stadium,33.95361886470102,-118.33907714820384,2023-08-04,North America
Inglewood,USA,SoFi Stadium,33.95361886470102,-118.33907714820384,2023-08-05,North America
Inglewood,USA,SoFi Stadium,33.95361886470102,-118.33907714820384,2023-08-07,North America
